IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
IFITM2,-0.21592,1.270048654,0.454864726,2.47898,-0.17722,1.326083371,-2.041216739,0.762904687,0.024067365,0.464134589,4.53E-22,0.111044166,3.38E-10,5.82E-16
GBP5,0.12943,4.471832973,5.455793903,4.65778,0.73982,1.776316475,0.085071389,1,2.40E-16,3.70E-23,1.34E-32,1,1,1
CCL20,0.02009,1.044490949,0.698940012,3.92537,1.39588,3.774879875,2.834836851,1,0.163821959,0.346555337,0,4.75E-18,1.05E-185,3.39E-60
ICAM1,0.23592,0.985377565,3.57449316,3.60872,2.75438,1.760313342,1.853804282,1,0.000144466,8.87E-120,1.29E-222,3.60E-198,3.15E-85,1.65E-54
CCL3,0,3.374139161,5.361053091,0.26781,0.11217,0.981909627,1.22972689,1,8.83E-08,3.66E-21,0,1,1,1
NMI,0.38195,2.019718678,1.584914247,1.95433,0.46757,1.023930947,-1.20597143,0.527596521,1.77E-18,8.01E-20,1.27E-51,3.78E-05,7.15E-19,3.40E-13
CSF1,-0.50282,0.782280702,2.007925721,2.46268,0.8871,1.547855571,1.368196245,0.282307378,0.000434401,4.31E-58,7.80E-49,3.02E-38,1.25E-47,1.43E-31
IL1RAP,0.43232,1.024544917,2.302678847,0.52752,1.25929,0.204639349,-0.263590633,0.591629186,0.164183673,0.000127773,0,1.66E-10,0.122657307,0.125533172
CX3CL1,-0.03441,0.952481993,0.96161072,3.07008,1.20911,1.600449394,1.86535728,1,0.040248377,0.033687514,2.28E-138,4.83E-07,3.14E-05,1.15E-06
VCAM1,-0.04191,0.20791256,-0.684800481,4.05549,0.1906,-0.132129721,1.026698808,1,1,1,0,1,1,1
ITGAM,-0.03453,0.188209465,0.226415357,2.321,0.0965,0.635445484,0.592159682,0.972688805,0.717726232,0.659532279,2.09E-24,0.587413422,0.017318855,0.029033722
PTAFR,-0.15514,0.140284189,2.26196661,2.93157,1.18121,-0.000203622,0.135684737,1,1,2.42E-06,1.37E-70,0.001035776,0.999667273,0.71599622
LBP,0,1.58657938,1.512097191,0.19089,1.78461,0.700262392,-1.87677567,1,1,1,0,1.57E-08,1,1
CCL2,1.14024,1.109420882,2.398688562,2.53769,1.125,2.760433952,3.888250664,0.008355857,2.25E-08,4.62E-26,1.20E-106,2.47E-24,6.63E-82,5.57E-272
REL,0.1517,0.705011764,0.850729016,1.78364,0.43186,3.133114312,3.210573704,0.869999416,0.202677755,0.098178548,1.71E-08,1,3.78E-77,2.57E-88
XAF1,-0.76496,6.986302846,6.074772833,4.4071,1.10503,4.859985843,-0.088415828,1,6.65E-52,6.58E-34,1.44E-117,1,1,1
GBP4,0.07651,6.315113272,5.920777271,4.33227,2.22012,3.614760623,-0.883563022,1,2.11E-51,1.17E-39,1.94E-203,5.91E-10,1.87E-18,1
EGR1,1.4785,4.679871942,4.611104498,2.43821,0.22914,6.616561578,6.354208712,0.018547666,1.25E-38,8.74E-38,8.05E-85,0.535262388,1.81E-192,5.94E-146
CASP1,0.05262,4.093584152,3.204768818,2.35498,0.76537,1.27655843,-0.89116477,1,6.27E-16,2.16E-07,1.65E-23,1,1,1
SP100,0.25724,2.435752113,2.198022492,2.40909,0.71613,2.042071404,0.434539225,0.635559009,6.78E-32,6.37E-49,6.61E-125,1.31E-18,1.50E-81,1.68E-06
B2M,0.47274,2.31911522,2.039476826,0.52245,0.44591,1.114428945,0.452876039,0.257420683,2.49E-16,5.07E-51,4.97E-10,5.65E-09,4.85E-68,5.25E-10
TRIM21,0.13616,2.026983456,1.707372029,2.19498,-0.02313,2.083047677,-0.148736072,0.82694776,4.36E-11,1.13E-10,3.87E-77,0.862996573,1.33E-57,0.394956912
HLA-F,-0.45341,2.026901634,1.918717136,1.57822,0.61416,3.494118781,2.321617766,0.577437365,1.87E-05,0.000159196,2.91E-28,3.29E-05,3.59E-86,4.18E-26
