log2FoldChange,padj
EXOSC10,-1.0523495527,0.365298793
MTOR,-1.246450607,0.2706212102
MTOR-AS1,-0.0362339798,NaN
ANGPTL7,-0.2189834281,NaN
UBIAD1,-3.3811891777,0.0096967741
PTCHD2,-0.1226105098,NaN
FBXO2,0.0802593063,NaN
FBXO44,-2.6710264657,0.0510859298
FBXO6,1.3916230194,0.1695480693
MAD2L2,-0.7573706441,0.4467060825
DRAXIN,-0.0127306013,NaN
AGTRAP,-0.4794563006,0.7043791339
MTHFR,-3.1665630755,0.0123136512
CLCN6,-3.3799579095,0.0096967741
NPPA-AS1,-0.4258820278,NaN
NPPA,-0.5246749102,NaN
NPPB,-0.0127306013,NaN
KIAA2013,-1.1965095475,0.3307691562
PLOD1,-1.5961523155,0.1385220393
MFN2,-1.5336028275,NaN
MIIP,-0.3770772206,NaN
TNFRSF8,-1.3264517701,NaN
TNFRSF1B,-1.0326162515,0.2852436135
MIR4632,NaN,NaN
VPS13D,-3.4850083598,0.0018110821
SNORA59B,NaN,NaN
SNORA59A,NaN,NaN
DHRS3,-0.6778463989,0.5638941751
AADACL4,NaN,NaN
AADACL3,NaN,NaN
C1orf158,0.6993976256,NaN
PRAMEF12,NaN,NaN
PRAMEF1,-0.0127306013,NaN
PRAMEF11,NaN,NaN
LOC649330,NaN,NaN
HNRNPCL1,-0.2178599206,NaN
PRAMEF2,NaN,NaN
PRAMEF4,NaN,NaN
PRAMEF10,NaN,NaN
PRAMEF8,NaN,NaN
PRAMEF7,NaN,NaN
PRAMEF6,NaN,NaN
PRAMEF22,NaN,NaN
PRAMEF5,NaN,NaN
LOC440563,-0.0232011249,NaN
PRAMEF3,NaN,NaN
PRAMEF9,NaN,NaN
PRAMEF15,NaN,NaN
PRAMEF14,NaN,NaN
PRAMEF13,NaN,NaN
PRAMEF19,NaN,NaN
PRAMEF18,NaN,NaN
PRAMEF16,NaN,NaN
PRAMEF20,NaN,NaN
PRAMEF21,NaN,NaN
PRAMEF17,-0.0441911372,NaN
LRRC38,1.4891494131,0.3053041708
PDPN,0.8123814453,0.4188726415
PRDM2,-2.822670856,NaN
KAZN,-2.8238971547,0.020487606
TMEM51-AS1,-1.0381523671,NaN
TMEM51,-2.8815584954,0.0243737848
FHAD1,-1.137558985,NaN
EFHD2,1.3596981415,0.120396134
CTRC,-0.5652708421,NaN
CELA2A,-0.1593032806,NaN
CELA2B,-0.3740315385,NaN
CASP9,-2.3534410092,0.0736526563
DNAJC16,1.05042861,0.4092887704
AGMAT,-0.2663867858,NaN
DDI2,-0.94210351,NaN
RSC1A1,0.952676654,NaN
PLEKHM2,-4.2144354097,0.0001188657
SLC25A34,-1.6384980318,NaN
TMEM82,NaN,NaN
FBLIM1,-1.013097516,0.4914905588
UQCRHL,-0.5265728934,NaN
FLJ37453,-1.2726470097,NaN
SPEN,-0.8577180696,0.3592138077
ZBTB17,-2.9010433779,NaN
C1orf64,-0.1574192489,NaN
HSPB7,-2.6414538487,0.0559021522
CLCNKA,-0.4074999628,NaN
CLCNKB,-0.3220859058,NaN
FAM131C,NaN,NaN
EPHA2,-2.2743733632,0.0693203295
ARHGEF19,-0.9098718944,0.5458229165
RSG1,-0.6502044151,NaN
FBXO42,-1.0915115168,0.3889927996
SZRD1,-0.5093074352,0.5708623681
SPATA21,-0.2567320472,NaN
NECAP2,-1.3929507243,0.151430732
CROCCP3,-1.4410624878,NaN
MIR3675,NaN,NaN
NBPF1,-2.0940181632,NaN
CROCCP2,-0.4783058646,0.7488697176
MST1P2,-0.699600931,NaN
ESPNP,-0.0127306013,NaN
MST1L,-0.461000737,NaN
CROCC,-2.2644264817,0.1054726321
MFAP2,-1.6372994041,NaN
ATP13A2,-1.7567546636,0.1634135039
SDHB,-0.7875752174,0.4681352923
PADI2,4.5679488231,1.63E-10
PADI1,-0.1691163461,NaN
PADI3,-0.1437465976,NaN
PADI4,2.3942364093,0.0702357603
PADI6,NaN,NaN
RCC2,-2.0726973845,0.025201149
ARHGEF10L,-3.0535851025,0.0227431028
ACTL8,NaN,NaN
IGSF21,-0.6698443124,NaN
KLHDC7A,-0.4222338652,NaN
PAX7,NaN,NaN
TAS1R2,-0.0127306013,NaN
ALDH4A1,-2.0585401723,0.1485428176
MIR4695,NaN,NaN
IFFO2,-1.4665923874,0.2062537982
UBR4,-1.5019312855,0.1664619403
EMC1,-0.4914815847,0.6664530735
MRTO4,-1.2846279061,0.1808294773
AKR7L,-0.6402638856,NaN
AKR7A3,-0.6774422928,NaN
LOC100506730,-0.9199844671,NaN
AKR7A2,-1.7815061805,0.1811697533
PQLC2,-1.7865578296,0.1941564238
CAPZB,1.4911631105,0.0578523
MINOS1,0.579916272,0.6489287711
C1orf151-NBL1,NaN,NaN
NBL1,-0.7199696698,NaN
HTR6,-0.0362339798,NaN
TMCO4,-2.3328694422,0.0927506243
RNF186,-0.0247642211,NaN
OTUD3,-3.3067035086,0.0141775154
PLA2G2E,NaN,NaN
PLA2G2A,-0.2119162922,0.9126972277
PLA2G5,-0.4390876164,NaN
PLA2G2D,-0.6604686035,NaN
PLA2G2F,NaN,NaN
PLA2G2C,-0.0441911372,NaN
UBXN10,-1.2066163249,NaN
VWA5B1,-0.1704955008,NaN
LOC339505,-0.0247642211,NaN
CAMK2N1,0.6010844895,0.6489287711
MUL1,-3.2667905709,0.0073445792
FAM43B,0.7655479593,NaN
CDA,3.7807783715,0.0019610948
PINK1,-2.142428767,NaN
DDOST,-0.9127738551,0.2891687026
KIF17,-2.1004120461,0.088474329
SH2D5,-1.377298376,0.352591239
HP1BP3,-0.9100912928,0.3648722177
EIF4G3,0.6851844863,0.584696159
ECE1,-1.9082623437,0.1144877725
LOC100506801,-0.8053326985,NaN
NBPF3,-1.3527088642,NaN
ALPL,2.8222336479,0.0117270567
RAP1GAP,0.3133316095,NaN
USP48,-2.2853870153,0.0433479252
LDLRAD2,-0.6416179062,NaN
HSPG2,-1.1123820406,0.354936008
CELA3B,NaN,NaN
CELA3A,NaN,NaN
LINC00339,-1.0126115334,0.4997093756
CDC42,1.113375807,0.101179678
WNT4,-1.0524301285,NaN
ZBTB40,-1.4406199628,0.204364122
EPHA8,NaN,NaN
C1QA,0.4555846335,0.7250190131
C1QC,3.2446101621,3.90E-05
C1QB,2.0251168229,0.0245760164
EPHB2,-0.5641931271,0.7419087637
MIR4684,NaN,NaN
MIR4253,NaN,NaN
LOC729059,-0.0635296015,NaN
KDM1A,-3.2828031503,0.0026895986
MIR3115,NaN,NaN
LUZP1,-3.1450799668,0.0071844471
HTR1D,0.8427420984,NaN
HNRNPR,-0.7486549725,0.4048022748
ZNF436,-0.3718507378,0.8106725115
C1orf213,-1.1592750869,NaN
TCEA3,-2.6757723987,0.0531459674
ASAP3,-2.5712085864,0.0627385056
E2F2,-0.6180156011,NaN
ID3,-2.3390773954,0.0339655289
MDS2,-0.0577779504,NaN
RPL11,-0.0887647727,0.9321081398
TCEB3,0.032154048,0.9828712505
LOC100506963,-0.3677981248,NaN
PITHD1,-1.6380762394,0.1181715324
LYPLA2,-1.3914868376,0.1979027408
GALE,-0.5875425885,0.6899910743
HMGCL,-2.6615390039,0.0257519161
FUCA1,1.1112752316,0.3522946887
CNR2,-0.1054558736,NaN
MIR378F,NaN,NaN
PNRC2,-0.4432866715,NaN
SRSF10,-3.2046025518,0.0163469237
MYOM3,0.6858556829,NaN
IL22RA1,-0.4904613306,NaN
IFNLR1,-1.2781425695,NaN
LOC284632,-0.1437465976,NaN
GRHL3,-0.2567320472,NaN
STPG1,0.119676844,0.9442298833
NIPAL3,-2.9712526355,0.028443989
RCAN3AS,-0.0127306013,NaN
RCAN3,1.7539499315,0.1553137847
NCMAP,-0.2227034424,NaN
